num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
168.0,592.0,0.2838,566.0,0.9561,1.0,4.0,3.5238,1.0,4.0,3.5238,66.0,0.3929,102.0,0.6071,60.0,0.3571,108.0,0.6429,40.0,0.2381,128.0,0.7619,7.0,0.0417,10.0,0.0595,0.0,0.0,7.0,25.0,74.0,2.0,2.0,12.0,10.0,24.0,16.3333,10.0,24.0,16.3333,199.99400000000003,35.568000000000005,5.2139999999999995,10.735999999999999,3.1319999999999997,75.691,3.1319999999999997
168.0,592.0,0.2838,568.0,0.9595,2.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,64.0,0.381,104.0,0.619,40.0,0.2381,128.0,0.7619,12.0,0.0714,8.0,0.0476,0.0,0.0,5.0,19.0,108.1111,2.0,2.0,13.0,6.0,24.0,15.5,6.0,24.0,16.1176,192.623,117.573,0.42200000000000004,176.743,7.415,19.053,0.42200000000000004
168.0,590.0,0.2847,564.0,0.9559,1.0,4.0,3.5119,1.0,4.0,3.5119,58.0,0.3452,110.0,0.6548,54.0,0.3214,114.0,0.6786,40.0,0.2381,128.0,0.7619,12.0,0.0714,14.0,0.0833,0.0,0.0,1.0,5.0,70.0,2.0,2.0,13.0,4.0,24.0,15.5789,4.0,24.0,15.5789,199.99,60.137,118.887,102.27,9.002,53.54600000000001,9.002
168.0,590.0,0.2847,566.0,0.9593,1.0,4.0,3.5119,2.0,4.0,3.5119,56.0,0.3333,112.0,0.6667,60.0,0.3571,108.0,0.6429,42.0,0.25,126.0,0.75,13.0,0.0774,11.0,0.0655,0.0,0.0,9.0,34.0,82.7273,2.0,2.0,13.0,9.0,24.0,16.7222,9.0,24.0,16.7222,199.99099999999999,54.48,1.328,194.735,22.526999999999997,39.129,1.328
168.0,590.0,0.2847,560.0,0.9492,2.0,4.0,3.5119,1.0,4.0,3.5119,56.0,0.3333,112.0,0.6667,58.0,0.3452,110.0,0.6548,46.0,0.2738,122.0,0.7262,13.0,0.0774,12.0,0.0714,0.0,0.0,3.0,11.0,79.7273,2.0,2.0,13.0,1.0,24.0,13.2059,1.0,24.0,14.6667,179.613,61.707,4.177,19.051,0.804,0.977,0.804
168.0,590.0,0.2847,560.0,0.9492,1.0,4.0,3.5119,2.0,4.0,3.5119,62.0,0.369,106.0,0.631,58.0,0.3452,110.0,0.6548,44.0,0.2619,124.0,0.7381,10.0,0.0595,12.0,0.0714,0.0,0.0,9.0,30.0,82.9091,2.0,2.0,13.0,2.0,24.0,13.9583,2.0,24.0,16.0,155.65,12.96,2.908,47.717,2.549,22.723000000000003,2.549
168.0,588.0,0.2857,558.0,0.9490000000000001,1.0,4.0,3.5,1.0,4.0,3.5,58.0,0.3452,110.0,0.6548,70.0,0.4167,98.0,0.5833,44.0,0.2619,124.0,0.7381,13.0,0.0774,7.0,0.0417,0.0,0.0,3.0,11.0,79.7273,2.0,2.0,3.0,10.0,24.0,15.6667,10.0,24.0,15.6667,199.99099999999999,193.33599999999998,7.1770000000000005,58.125,3.6319999999999997,18.65,3.6319999999999997
168.0,588.0,0.2857,558.0,0.9490000000000001,2.0,4.0,3.5,2.0,4.0,3.5,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,50.0,0.2976,118.0,0.7024,11.0,0.0655,12.0,0.0714,0.0,0.0,2.0,9.0,100.7273,2.0,2.0,8.0,6.0,24.0,16.9444,6.0,24.0,16.7059,199.99099999999999,34.722,41.70399999999999,125.822,84.20700000000001,118.973,34.722
168.0,588.0,0.2857,556.0,0.9456,1.0,4.0,3.5,2.0,4.0,3.5,58.0,0.3452,110.0,0.6548,52.0,0.3095,116.0,0.6905,48.0,0.2857,120.0,0.7143,13.0,0.0774,16.0,0.0952,0.0,0.0,2.0,8.0,74.7,2.0,2.0,13.0,1.0,24.0,13.4444,1.0,24.0,15.619000000000002,199.99,16.97,1.811,1.9580000000000002,9.582,3.37,1.811
168.0,588.0,0.2857,558.0,0.9490000000000001,2.0,4.0,3.5,2.0,4.0,3.5,66.0,0.3929,102.0,0.6071,68.0,0.4048,100.0,0.5952,46.0,0.2738,122.0,0.7262,9.0,0.0536,8.0,0.0476,0.0,0.0,7.0,27.0,102.4,2.0,2.0,3.0,7.0,24.0,15.7727,7.0,24.0,15.8636,199.99200000000002,106.68700000000001,5.36,32.387,41.481,115.22399999999999,5.36
