num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
192.0,682.0,0.2815,656.0,0.9619,2.0,4.0,3.5521,2.0,4.0,3.5521,66.0,0.3438,126.0,0.6563,74.0,0.3854,118.0,0.6146,44.0,0.2292,148.0,0.7708,10.0,0.0521,6.0,0.0313,0.0,0.0,3.0,13.0,92.6923,2.0,2.0,17.0,8.0,26.0,16.9565,8.0,26.0,16.9565,199.99400000000003,199.995,75.176,199.94400000000002,199.995,199.99599999999998,75.176
176.0,617.0,0.2853,586.0,0.9498,1.0,4.0,3.5057,1.0,4.0,3.5057,63.0,0.358,113.0,0.642,63.0,0.358,113.0,0.642,52.0,0.2955,124.0,0.7045,12.0,0.0682,12.0,0.0682,0.0,0.0,1.0,5.0,91.1,2.0,2.0,3.0,7.0,24.0,15.2258,7.0,24.0,15.4688,199.99400000000003,64.627,1.0,28.855,18.059,127.973,1.0
176.0,617.0,0.2853,586.0,0.9498,2.0,4.0,3.5057,2.0,4.0,3.5057,63.0,0.358,113.0,0.642,63.0,0.358,113.0,0.642,44.0,0.25,132.0,0.75,12.0,0.0682,12.0,0.0682,0.0,0.0,2.0,8.0,88.5385,2.0,2.0,17.0,4.0,24.0,15.6522,4.0,24.0,15.8261,85.45299999999999,0.077,5.276,26.678,5.949,9.305,0.077
176.0,617.0,0.2853,588.0,0.953,2.0,4.0,3.5057,1.0,4.0,3.5057,59.0,0.3352,117.0,0.6648,63.0,0.358,113.0,0.642,44.0,0.25,132.0,0.75,14.0,0.0795,12.0,0.0682,0.0,0.0,2.0,9.0,80.5333,2.0,2.0,17.0,4.0,24.0,14.3704,4.0,24.0,15.3043,66.899,61.788999999999994,33.111,22.041,100.62799999999999,25.869,22.041
176.0,617.0,0.2853,586.0,0.9498,1.0,4.0,3.5057,1.0,4.0,3.5057,65.0,0.3693,111.0,0.6307,57.0,0.3239,119.0,0.6761,42.0,0.2386,134.0,0.7614,11.0,0.0625,15.0,0.0852,1.0,0.0057,1.0,5.0,83.5714,2.0,2.0,17.0,4.0,24.0,16.0909,4.0,24.0,16.0909,199.989,8.285,9.658,59.246,3.551,9.607999999999999,3.551
192.0,680.0,0.2824,648.0,0.9529,2.0,4.0,3.5417,1.0,4.0,3.5417,60.0,0.3125,132.0,0.6875,62.0,0.3229,130.0,0.6771,56.0,0.2917,136.0,0.7083,14.0,0.0729,13.0,0.0677,0.0,0.0,6.0,24.0,105.5,2.0,2.0,9.0,4.0,26.0,15.9643,4.0,26.0,16.0357,162.847,199.99400000000003,162.10299999999998,199.99400000000003,199.995,199.99599999999998,162.10299999999998
192.0,680.0,0.2824,650.0,0.9559,1.0,4.0,3.5417,2.0,4.0,3.5417,74.0,0.3854,118.0,0.6146,72.0,0.375,120.0,0.625,56.0,0.2917,136.0,0.7083,7.0,0.0365,8.0,0.0417,0.0,0.0,4.0,15.0,102.625,2.0,2.0,17.0,4.0,26.0,16.2917,4.0,26.0,16.2917,199.985,199.99599999999998,5.365,199.99200000000002,25.791,77.102,5.365
192.0,678.0,0.2832,644.0,0.9499,1.0,4.0,3.5313,2.0,4.0,3.5313,66.0,0.3438,126.0,0.6563,72.0,0.375,120.0,0.625,48.0,0.25,144.0,0.75,12.0,0.0625,9.0,0.0469,0.0,0.0,4.0,15.0,102.4545,2.0,2.0,3.0,5.0,26.0,16.1724,6.0,26.0,16.1,189.77599999999998,199.99200000000002,199.99599999999998,21.522,20.768,199.995,20.768
192.0,678.0,0.2832,644.0,0.9499,1.0,4.0,3.5313,1.0,4.0,3.5313,62.0,0.3229,130.0,0.6771,64.0,0.3333,128.0,0.6667,52.0,0.2708,140.0,0.7292,14.0,0.0729,13.0,0.0677,0.0,0.0,2.0,9.0,94.9,2.0,2.0,14.0,6.0,26.0,17.32,6.0,26.0,17.32,199.99,24.655,16.805,23.585,24.230999999999998,5.038,5.038
192.0,678.0,0.2832,644.0,0.9499,1.0,4.0,3.5313,2.0,4.0,3.5313,70.0,0.3646,122.0,0.6354,64.0,0.3333,128.0,0.6667,52.0,0.2708,140.0,0.7292,10.0,0.0521,13.0,0.0677,0.0,0.0,1.0,5.0,87.8333,2.0,2.0,8.0,8.0,26.0,16.037,8.0,26.0,16.037,199.99400000000003,199.99599999999998,7.624,5.26,21.24,199.995,5.26
192.0,678.0,0.2832,644.0,0.9499,1.0,4.0,3.5313,2.0,4.0,3.5313,68.0,0.3542,124.0,0.6458,70.0,0.3646,122.0,0.6354,58.0,0.3021,134.0,0.6979,11.0,0.0573,10.0,0.0521,0.0,0.0,4.0,16.0,73.1111,2.0,2.0,17.0,10.0,26.0,17.0769,10.0,26.0,17.0769,199.993,111.32600000000001,4.013999999999999,199.99200000000002,3.716,106.714,3.716
192.0,676.0,0.284,644.0,0.9527,1.0,4.0,3.5208,2.0,4.0,3.5208,72.0,0.375,120.0,0.625,66.0,0.3438,126.0,0.6563,50.0,0.2604,142.0,0.7396,10.0,0.0521,13.0,0.0677,0.0,0.0,1.0,5.0,103.0,2.0,2.0,16.0,2.0,26.0,15.0333,2.0,26.0,16.2308,199.99099999999999,199.99599999999998,39.654,199.99400000000003,5.196000000000001,75.48,5.196000000000001
